                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     89,                0.85057,                0.36324,                 1.0207,                0.98227,                 0.9667,                0.98542,                0.71738,                 1.0764,                0.35385,                 1.1249,               0.001288,               0.001288,               0.001288
                     90,                0.84408,                0.35796,                 1.0161,                0.98168,                 0.9667,                0.98536,                0.71741,                 1.0766,                0.35403,                 1.1248,               0.001189,               0.001189,               0.001189
                     91,                0.83326,                0.30694,                 1.0186,                0.98223,                0.96576,                0.98503,                0.71755,                 1.0764,                 0.3543,                 1.1246,                0.00109,                0.00109,                0.00109
                     92,                0.82342,                0.30351,                 1.0203,                0.97818,                0.96904,                0.98425,                0.71691,                 1.0761,                0.35428,                 1.1246,               0.000991,               0.000991,               0.000991
                     93,                0.81189,                0.29998,                 1.0161,                0.98418,                0.96315,                0.98403,                0.71557,                 1.0763,                0.35385,                 1.1246,               0.000892,               0.000892,               0.000892
                     94,                0.80499,                0.29614,                  1.012,                0.98071,                0.96576,                0.98401,                0.71643,                 1.0766,                0.35356,                 1.1247,               0.000793,               0.000793,               0.000793
                     95,                0.79986,                0.29283,                 1.0093,                0.98464,                0.96214,                0.98404,                0.71666,                 1.0765,                0.35358,                 1.1249,               0.000694,               0.000694,               0.000694
                     96,                0.79149,                0.29177,                 1.0044,                0.98511,                0.96216,                0.98401,                 0.7161,                 1.0769,                0.35324,                 1.1252,               0.000595,               0.000595,               0.000595
                     97,                0.78683,                0.28804,                0.99436,                 0.9851,                0.96149,                0.98388,                0.71699,                 1.0771,                0.35307,                 1.1254,               0.000496,               0.000496,               0.000496
                     98,                  0.781,                0.28583,                0.99257,                0.98559,                0.96232,                  0.984,                0.71696,                 1.0772,                0.35297,                 1.1255,               0.000397,               0.000397,               0.000397
                     99,                0.77676,                0.28303,                0.99332,                0.98559,                 0.9624,                0.98391,                0.71643,                 1.0772,                0.35283,                 1.1256,               0.000298,               0.000298,               0.000298
                    100,                0.77039,                0.28194,                0.99126,                 0.9852,                0.96295,                0.98382,                0.71562,                  1.077,                0.35241,                 1.1258,               0.000199,               0.000199,               0.000199
